record_type,entity_id,recommended_for_presentation,reporting_risk_level,reporting_risk_reason,safer_interpretation,requires_external_validation
economic_interpretation,1896|AUS|Australia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Australia 1896, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1896|AUT|Austria,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Austria 1896, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1896|DEN|Denmark,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Denmark 1896, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1896|FRA|France,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For France 1896, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1896|GBR|United Kingdom,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For United Kingdom 1896, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1896|GER|Germany,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Germany 1896, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1896|GRE|Greece,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Greece 1896, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1896|HUN|Hungary,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Hungary 1896, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1896|SUI|Switzerland,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Switzerland 1896, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1896|USA|United States,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For United States 1896, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|AUS|Australia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Australia 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|AUT|Austria,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Austria 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|BEL|Belgium,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Belgium 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|BOH|Czechia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Czechia 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|CAN|Canada,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Canada 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|COL|Colombia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Colombia 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|CUB|Cuba,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Cuba 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|DEN|Denmark,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Denmark 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|ESP|Spain,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Spain 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
