table_name,column_name,dtype,description
clean_olympic_events,athlete_id,int64,
clean_olympic_events,athlete_name,object,
clean_olympic_events,sex,object,"Event sex category: men, women, mixed, or unknown."
clean_olympic_events,age,float64,
clean_olympic_events,height,float64,
clean_olympic_events,weight,float64,
clean_olympic_events,team,object,
clean_olympic_events,noc,object,Olympic NOC code.
clean_olympic_events,games,float64,
clean_olympic_events,year,Int64,Olympic year.
clean_olympic_events,season,object,Olympic season. P0 standard output uses Summer.
clean_olympic_events,city,object,Host city name as recorded in Olympic event data.
clean_olympic_events,sport,object,Olympic sport.
clean_olympic_events,event,object,Olympic event.
clean_olympic_events,medal,object,"Gold, Silver, Bronze, or No medal."
clean_olympic_events,source,object,
clean_olympic_events,country_from_noc,object,
clean_olympic_events,country_name,object,Standardized country or team display name.
clean_olympic_events,iso3,object,ISO3-like country code used for joining external economic and population data.
clean_olympic_events,is_medal,int64,
clean_olympic_events,is_gold,int64,
clean_olympic_events,medal_score,int64,
clean_athlete_events_summer,athlete_id,int64,
clean_athlete_events_summer,athlete_name,object,
clean_athlete_events_summer,sex,object,"Event sex category: men, women, mixed, or unknown."
clean_athlete_events_summer,age,float64,
clean_athlete_events_summer,height,float64,
clean_athlete_events_summer,weight,float64,
clean_athlete_events_summer,team,object,
clean_athlete_events_summer,noc,object,Olympic NOC code.
clean_athlete_events_summer,games,object,
clean_athlete_events_summer,year,Int64,Olympic year.
clean_athlete_events_summer,season,object,Olympic season. P0 standard output uses Summer.
clean_athlete_events_summer,city,object,Host city name as recorded in Olympic event data.
clean_athlete_events_summer,sport,object,Olympic sport.
clean_athlete_events_summer,event,object,Olympic event.
clean_athlete_events_summer,medal,object,"Gold, Silver, Bronze, or No medal."
clean_athlete_events_summer,source,object,
clean_athlete_events_summer,country_from_noc,object,
clean_athlete_events_summer,country_name,object,Standardized country or team display name.
clean_athlete_events_summer,iso3,object,ISO3-like country code used for joining external economic and population data.
clean_athlete_events_summer,is_medal,int64,
clean_athlete_events_summer,is_gold,int64,
clean_athlete_events_summer,medal_score,int64,
official_event_medals,athlete_id,int64,
official_event_medals,athlete_name,object,
official_event_medals,sex,object,"Event sex category: men, women, mixed, or unknown."
official_event_medals,age,float64,
official_event_medals,height,float64,
official_event_medals,weight,float64,
official_event_medals,team,object,
official_event_medals,noc,object,Olympic NOC code.
official_event_medals,games,float64,
official_event_medals,year,Int64,Olympic year.
