year,sport,event,sex,original_change_type,refined_change_type,event_family,standard_event_family,true_new_medal_opportunity_flag,restored_event_flag,rename_or_split_likely_flag,opportunity_delta_vs_prev_games,confidence_level,note
1900,Archery,"Archery Men's Au Chapelet, 33 metres",men,added,true_added,"Au Chapelet, 33 metres",au chapelet,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Archery,"Archery Men's Au Chapelet, 50 metres",men,added,true_added,"Au Chapelet, 50 metres",au chapelet,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Archery,"Archery Men's Au Cordon Dore, 33 metres",men,added,true_added,"Au Cordon Dore, 33 metres",au cordon dore,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Archery,"Archery Men's Au Cordon Dore, 50 metres",men,added,true_added,"Au Cordon Dore, 50 metres",au cordon dore,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Archery,Archery Men's Championnat Du Monde,men,added,true_added,Championnat Du Monde,championnat du monde,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Archery,Archery Men's Sur La Perche a La Herse,men,added,true_added,Sur La Perche a La Herse,sur la perche la herse,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Archery,Archery Men's Sur La Perche a La Pyramide,men,added,true_added,Sur La Perche a La Pyramide,sur la perche la pyramide,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Archery,Archery Men's Unknown Event,men,added,uncertain,Unknown Event,,0,0,0,,low,Event family is missing or too generic to classify as a true new opportunity. Rule-based classification; not a perfect rename detector.
1900,Athletics,"Athletics Men's 2,500 metres Steeplechase",men,added,true_added,"2,500 metres Steeplechase",steeplechase,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Athletics,Athletics Men's 200 metres,men,added,uncertain,200 metres,,0,0,0,,low,Event family is missing or too generic to classify as a true new opportunity. Rule-based classification; not a perfect rename detector.
1900,Athletics,Athletics Men's 200 metres Hurdles,men,added,true_added,200 metres Hurdles,hurdles,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Athletics,"Athletics Men's 4,000 metres Steeplechase",men,added,true_added,"4,000 metres Steeplechase",steeplechase,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Athletics,Athletics Men's 400 metres Hurdles,men,added,true_added,400 metres Hurdles,hurdles,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Athletics,"Athletics Men's 5,000 metres, Team",men,added,true_added,"5,000 metres, Team",team,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
