host_year,host_country,host_noc,sport,pre_year,post_year,pre_host_medals,host_year_medals,post_host_medals,pre_country_share_in_sport,host_country_share_in_sport,post_country_share_in_sport,host_lift_vs_pre,host_lift_vs_post,host_lift_vs_baseline,non_host_peer_change,host_lift_vs_peers,host_effect_strength,host_effect_interpretation
1896,Greece,GRE,Athletics,,1900.0,,9.0,0.0,,0.2571428571428571,0.0,,9.0,9.0,,,weak_candidate,"Host-effect candidate evidence for Greece 1896 Athletics: host medals 9 versus pre  and post 0. Lift versus baseline is 9; peer-adjusted lift is . Read this as internal comparative evidence, not a causal claim. Window limit: pre Games unavailable."
1896,Greece,GRE,Cycling,,1900.0,,4.0,0.0,,0.25,0.0,,4.0,4.0,,,weak_candidate,"Host-effect candidate evidence for Greece 1896 Cycling: host medals 4 versus pre  and post 0. Lift versus baseline is 4; peer-adjusted lift is . Read this as internal comparative evidence, not a causal claim. Window limit: pre Games unavailable."
1896,Greece,GRE,Fencing,,1900.0,,4.0,0.0,,0.5,0.0,,4.0,4.0,,,weak_candidate,"Host-effect candidate evidence for Greece 1896 Fencing: host medals 4 versus pre  and post 0. Lift versus baseline is 4; peer-adjusted lift is . Read this as internal comparative evidence, not a causal claim. Window limit: pre Games unavailable."
1896,Greece,GRE,Gymnastics,,1900.0,,5.0,0.0,,0.2777777777777778,0.0,,5.0,5.0,,,weak_candidate,"Host-effect candidate evidence for Greece 1896 Gymnastics: host medals 5 versus pre  and post 0. Lift versus baseline is 5; peer-adjusted lift is . Read this as internal comparative evidence, not a causal claim. Window limit: pre Games unavailable."
1896,Greece,GRE,Shooting,,1900.0,,9.0,0.0,,0.6,0.0,,9.0,9.0,,,weak_candidate,"Host-effect candidate evidence for Greece 1896 Shooting: host medals 9 versus pre  and post 0. Lift versus baseline is 9; peer-adjusted lift is . Read this as internal comparative evidence, not a causal claim. Window limit: pre Games unavailable."
1896,Greece,GRE,Swimming,,1900.0,,6.0,0.0,,0.6,0.0,,6.0,6.0,,,weak_candidate,"Host-effect candidate evidence for Greece 1896 Swimming: host medals 6 versus pre  and post 0. Lift versus baseline is 6; peer-adjusted lift is . Read this as internal comparative evidence, not a causal claim. Window limit: pre Games unavailable."
1896,Greece,GRE,Tennis,,1900.0,,3.0,0.0,,0.3333333333333333,0.0,,3.0,3.0,,,weak_candidate,"Host-effect candidate evidence for Greece 1896 Tennis: host medals 3 versus pre  and post 0. Lift versus baseline is 3; peer-adjusted lift is . Read this as internal comparative evidence, not a causal claim. Window limit: pre Games unavailable."
1896,Greece,GRE,Weightlifting,,1900.0,,2.0,0.0,,0.3333333333333333,0.0,,2.0,2.0,,,weak_candidate,"Host-effect candidate evidence for Greece 1896 Weightlifting: host medals 2 versus pre  and post 0. Lift versus baseline is 2; peer-adjusted lift is . Read this as internal comparative evidence, not a causal claim. Window limit: pre Games unavailable."
1896,Greece,GRE,Wrestling,,1900.0,,2.0,0.0,,0.6666666666666666,0.0,,2.0,2.0,,,weak_candidate,"Host-effect candidate evidence for Greece 1896 Wrestling: host medals 2 versus pre  and post 0. Lift versus baseline is 2; peer-adjusted lift is . Read this as internal comparative evidence, not a causal claim. Window limit: pre Games unavailable."
1900,France,FRA,Archery,1896.0,1904.0,0.0,13.0,0.0,0.0,0.65,0.0,13.0,13.0,13.0,7.0,6.0,strong_candidate,"Host-effect candidate evidence for France 1900 Archery: host medals 13 versus pre 0 and post 0. Lift versus baseline is 13; peer-adjusted lift is 6. Read this as internal comparative evidence, not a causal claim."
1900,France,FRA,Athletics,1896.0,1904.0,2.0,6.0,2.0,0.05714285714285714,0.08695652173913043,0.027777777777777776,4.0,4.0,4.0,3.6363636363636362,0.36363636363636376,strong_candidate,"Host-effect candidate evidence for France 1900 Athletics: host medals 6 versus pre 2 and post 2. Lift versus baseline is 4; peer-adjusted lift is 0.363636. Read this as internal comparative evidence, not a causal claim."
1900,France,FRA,Basque Pelota,1896.0,1904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,no_positive_host_lift,"Host-effect candidate evidence for France 1900 Basque Pelota: host medals 0 versus pre 0 and post 0. Lift versus baseline is 0; peer-adjusted lift is -1. Read this as internal comparative evidence, not a causal claim."
1900,France,FRA,Cricket,1896.0,1904.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,2.0,-1.0,moderate_candidate,"Host-effect candidate evidence for France 1900 Cricket: host medals 1 versus pre 0 and post 0. Lift versus baseline is 1; peer-adjusted lift is -1. Read this as internal comparative evidence, not a causal claim."
1900,France,FRA,Croquet,1896.0,1904.0,0.0,7.0,0.0,0.0,1.0,0.0,7.0,7.0,7.0,,,strong_candidate,"Host-effect candidate evidence for France 1900 Croquet: host medals 7 versus pre 0 and post 0. Lift versus baseline is 7; peer-adjusted lift is . Read this as internal comparative evidence, not a causal claim."
1900,France,FRA,Cycling,1896.0,1904.0,6.0,5.0,0.0,0.375,0.5555555555555556,0.0,-1.0,5.0,2.0,0.25,-1.25,weak_candidate,"Host-effect candidate evidence for France 1900 Cycling: host medals 5 versus pre 6 and post 0. Lift versus baseline is 2; peer-adjusted lift is -1.25. Read this as internal comparative evidence, not a causal claim."
1900,France,FRA,Equestrianism,1896.0,1904.0,0.0,8.0,0.0,0.0,0.5333333333333333,0.0,8.0,8.0,8.0,3.5,4.5,strong_candidate,"Host-effect candidate evidence for France 1900 Equestrianism: host medals 8 versus pre 0 and post 0. Lift versus baseline is 8; peer-adjusted lift is 4.5. Read this as internal comparative evidence, not a causal claim."
1900,France,FRA,Fencing,1896.0,1904.0,3.0,15.0,0.0,0.375,0.7142857142857143,0.0,12.0,15.0,13.5,2.0,10.0,strong_candidate,"Host-effect candidate evidence for France 1900 Fencing: host medals 15 versus pre 3 and post 0. Lift versus baseline is 13.5; peer-adjusted lift is 10. Read this as internal comparative evidence, not a causal claim."
1900,France,FRA,Football,1896.0,1904.0,0.0,1.0,0.0,0.0,0.2,0.0,1.0,1.0,1.0,1.3333333333333333,-0.33333333333333326,moderate_candidate,"Host-effect candidate evidence for France 1900 Football: host medals 1 versus pre 0 and post 0. Lift versus baseline is 1; peer-adjusted lift is -0.333333. Read this as internal comparative evidence, not a causal claim."
1900,France,FRA,Golf,1896.0,1904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,no_positive_host_lift,"Host-effect candidate evidence for France 1900 Golf: host medals 0 versus pre 0 and post 0. Lift versus baseline is 0; peer-adjusted lift is -3. Read this as internal comparative evidence, not a causal claim."
1900,France,FRA,Gymnastics,1896.0,1904.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,,,strong_candidate,"Host-effect candidate evidence for France 1900 Gymnastics: host medals 3 versus pre 0 and post 0. Lift versus baseline is 3; peer-adjusted lift is . Read this as internal comparative evidence, not a causal claim."
1900,France,FRA,Polo,1896.0,1904.0,0.0,2.0,0.0,0.0,0.2222222222222222,0.0,2.0,2.0,2.0,2.3333333333333335,-0.3333333333333335,strong_candidate,"Host-effect candidate evidence for France 1900 Polo: host medals 2 versus pre 0 and post 0. Lift versus baseline is 2; peer-adjusted lift is -0.333333. Read this as internal comparative evidence, not a causal claim."
