sport,modern_year_min,modern_year_max,active_modern_sport_flag,countries_winning_medals_mean_modern,sport_country_hhi_mean_modern,top1_share_mean_modern,new_country_medal_count_modern,female_event_growth_rate_modern,medal_opportunity_count_modern,repeat_winner_rate_modern,breakthrough_friendliness_index_modern,entry_barrier_index_modern,modern_sport_type,recommendation_note,index_note
Athletics,1992,2024,1,41.55555555555556,0.07187755620775978,0.18936223108745825,40,0.21052631578947367,1251,0.893048128342246,0.8521362628768379,0.14786373712316214,Modern breakthrough-friendly,Modern medal distribution is relatively broad; useful for selective breakthrough strategy research.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Taekwondo,2000,2024,1,19.714285714285715,0.06733630952380952,0.1369047619047619,46,0.0,208,0.6666666666666666,0.707635531254845,0.292364468745155,Modern breakthrough-friendly,Modern medal distribution is relatively broad; useful for selective breakthrough strategy research.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Wrestling,1992,2024,1,24.555555555555557,0.07614981264853624,0.16479670202283658,28,1.0,581,0.8733031674208145,0.6860520020374599,0.31394799796254014,Modern women-expansion opportunity,Women's event growth and medal breadth make this a candidate opportunity area where participation can scale.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Judo,1992,2024,1,23.444444444444443,0.07659517510707986,0.16375661375661377,32,0.0,512,0.8483412322274881,0.6689404383685865,0.3310595616314135,Modern breakthrough-friendly,Modern medal distribution is relatively broad; useful for selective breakthrough strategy research.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Boxing,1992,2024,1,22.77777777777778,0.07085212284641784,0.14522011213187686,26,1.0,439,0.8731707317073171,0.6684026190988682,0.3315973809011318,Modern women-expansion opportunity,Women's event growth and medal breadth make this a candidate opportunity area where participation can scale.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Weightlifting,1992,2024,1,18.77777777777778,0.09068433950112981,0.186510977315575,30,1.0,356,0.8224852071005917,0.6280116396031034,0.37198836039689664,Modern women-expansion opportunity,Women's event growth and medal breadth make this a candidate opportunity area where participation can scale.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Shooting,1992,2024,1,20.0,0.0893918383408619,0.18299536338752023,28,0.5,411,0.8444444444444444,0.6206452872497258,0.3793547127502742,Modern women-expansion opportunity,Women's event growth and medal breadth make this a candidate opportunity area where participation can scale.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Rowing,1992,2024,1,18.666666666666668,0.08327034517510706,0.15608465608465608,12,0.3333333333333333,378,0.9285714285714286,0.5538810885083918,0.4461189114916082,Modern women-expansion opportunity,Women's event growth and medal breadth make this a candidate opportunity area where participation can scale.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Artistic Gymnastics,2020,2024,1,17.0,0.11681990265008112,0.19767441860465118,24,0.16666666666666666,86,0.29411764705882354,0.5535141973459509,0.44648580265404914,Modern breakthrough-friendly,Modern medal distribution is relatively broad; useful for selective breakthrough strategy research.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Canoe Sprint,2020,2024,1,17.5,0.08881485977826595,0.19623655913978494,20,-0.16666666666666666,67,0.42857142857142855,0.5440750162465642,0.4559249837534358,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
