year,sport,event,sex,change_type,event_family,note
1900,Archery,"Archery Men's Au Chapelet, 33 metres",men,added,"Au Chapelet, 33 metres",Detected from adjacent Summer Games event-set comparison.
1900,Archery,"Archery Men's Au Chapelet, 50 metres",men,added,"Au Chapelet, 50 metres",Detected from adjacent Summer Games event-set comparison.
1900,Archery,"Archery Men's Au Cordon Dore, 33 metres",men,added,"Au Cordon Dore, 33 metres",Detected from adjacent Summer Games event-set comparison.
1900,Archery,"Archery Men's Au Cordon Dore, 50 metres",men,added,"Au Cordon Dore, 50 metres",Detected from adjacent Summer Games event-set comparison.
1900,Archery,Archery Men's Championnat Du Monde,men,added,Championnat Du Monde,Detected from adjacent Summer Games event-set comparison.
1900,Archery,Archery Men's Sur La Perche a La Herse,men,added,Sur La Perche a La Herse,Detected from adjacent Summer Games event-set comparison.
1900,Archery,Archery Men's Sur La Perche a La Pyramide,men,added,Sur La Perche a La Pyramide,Detected from adjacent Summer Games event-set comparison.
1900,Archery,Archery Men's Unknown Event,men,added,Unknown Event,Detected from adjacent Summer Games event-set comparison.
1900,Athletics,"Athletics Men's 2,500 metres Steeplechase",men,added,"2,500 metres Steeplechase",Detected from adjacent Summer Games event-set comparison.
1900,Athletics,Athletics Men's 200 metres Hurdles,men,added,200 metres Hurdles,Detected from adjacent Summer Games event-set comparison.
1900,Athletics,Athletics Men's 200 metres,men,added,200 metres,Detected from adjacent Summer Games event-set comparison.
1900,Athletics,"Athletics Men's 4,000 metres Steeplechase",men,added,"4,000 metres Steeplechase",Detected from adjacent Summer Games event-set comparison.
1900,Athletics,Athletics Men's 400 metres Hurdles,men,added,400 metres Hurdles,Detected from adjacent Summer Games event-set comparison.
1900,Athletics,"Athletics Men's 5,000 metres, Team",men,added,"5,000 metres, Team",Detected from adjacent Summer Games event-set comparison.
1900,Athletics,Athletics Men's 60 metres,men,added,60 metres,Detected from adjacent Summer Games event-set comparison.
1900,Athletics,Athletics Men's Hammer Throw,men,added,Hammer Throw,Detected from adjacent Summer Games event-set comparison.
1900,Athletics,Athletics Men's Standing High Jump,men,added,Standing High Jump,Detected from adjacent Summer Games event-set comparison.
1900,Athletics,Athletics Men's Standing Long Jump,men,added,Standing Long Jump,Detected from adjacent Summer Games event-set comparison.
1900,Athletics,Athletics Men's Standing Triple Jump,men,added,Standing Triple Jump,Detected from adjacent Summer Games event-set comparison.
1900,Basque Pelota,Basque Pelota Men's Two-Man Teams With Cesta,men,added,Two-Man Teams With Cesta,Detected from adjacent Summer Games event-set comparison.
1900,Cricket,Cricket Men's Cricket,men,added,Cricket,Detected from adjacent Summer Games event-set comparison.
1900,Croquet,Croquet Mixed Doubles,mixed,added,Doubles,Detected from adjacent Summer Games event-set comparison.
1900,Croquet,"Croquet Mixed Singles, One Ball",mixed,added,"Singles, One Ball",Detected from adjacent Summer Games event-set comparison.
1900,Croquet,"Croquet Mixed Singles, Two Balls",mixed,added,"Singles, Two Balls",Detected from adjacent Summer Games event-set comparison.
1900,Cycling,Cycling Men's 25 kilometres,men,added,25 kilometres,Detected from adjacent Summer Games event-set comparison.
1900,Cycling,Cycling Men's Points Race,men,added,Points Race,Detected from adjacent Summer Games event-set comparison.
1900,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,mixed,added,Four-In-Hand Competition,Detected from adjacent Summer Games event-set comparison.
1900,Equestrianism,Equestrianism Mixed Hacks And Hunter Combined,mixed,added,Hacks And Hunter Combined,Detected from adjacent Summer Games event-set comparison.
1900,Equestrianism,Equestrianism Mixed High Jump,mixed,added,High Jump,Detected from adjacent Summer Games event-set comparison.
1900,Equestrianism,"Equestrianism Mixed Jumping, Individual",mixed,added,"Jumping, Individual",Detected from adjacent Summer Games event-set comparison.
1900,Equestrianism,Equestrianism Mixed Long Jump,mixed,added,Long Jump,Detected from adjacent Summer Games event-set comparison.
1900,Fencing,"Fencing Men's Sabre, Masters, Individual",men,added,"Sabre, Masters, Individual",Detected from adjacent Summer Games event-set comparison.
1900,Fencing,"Fencing Men's epee, Individual",men,added,"epee, Individual",Detected from adjacent Summer Games event-set comparison.
1900,Fencing,"Fencing Men's epee, Masters and Amateurs, Individual",men,added,"epee, Masters and Amateurs, Individual",Detected from adjacent Summer Games event-set comparison.
1900,Fencing,"Fencing Men's epee, Masters, Individual",men,added,"epee, Masters, Individual",Detected from adjacent Summer Games event-set comparison.
1900,Football,Football Men's Football,men,added,Football,Detected from adjacent Summer Games event-set comparison.
1900,Golf,Golf Men's Individual,men,added,Individual,Detected from adjacent Summer Games event-set comparison.
1900,Golf,Golf Women's Individual,women,added,Individual,Detected from adjacent Summer Games event-set comparison.
1900,Gymnastics,Gymnastics Men's Individual All-Around,men,added,Individual All-Around,Detected from adjacent Summer Games event-set comparison.
1900,Polo,Polo Men's Polo,men,added,Polo,Detected from adjacent Summer Games event-set comparison.
1900,Rowing,Rowing Men's Coxed Eights,men,added,Coxed Eights,Detected from adjacent Summer Games event-set comparison.
1900,Rowing,Rowing Men's Coxed Fours,men,added,Coxed Fours,Detected from adjacent Summer Games event-set comparison.
1900,Rowing,Rowing Men's Coxed Pairs,men,added,Coxed Pairs,Detected from adjacent Summer Games event-set comparison.
1900,Rowing,Rowing Men's Single Sculls,men,added,Single Sculls,Detected from adjacent Summer Games event-set comparison.
1900,Rugby,Rugby Men's Rugby,men,added,Rugby,Detected from adjacent Summer Games event-set comparison.
1900,Sailing,Sailing Mixed 0-0.5 Ton,mixed,added,0-0.5 Ton,Detected from adjacent Summer Games event-set comparison.
1900,Sailing,Sailing Mixed 0.5-1 Ton,mixed,added,0.5-1 Ton,Detected from adjacent Summer Games event-set comparison.
1900,Sailing,Sailing Mixed 1-2 Ton,mixed,added,1-2 Ton,Detected from adjacent Summer Games event-set comparison.
1900,Sailing,Sailing Mixed 10-20 Ton,mixed,added,10-20 Ton,Detected from adjacent Summer Games event-set comparison.
1900,Sailing,Sailing Mixed 2-3 Ton,mixed,added,2-3 Ton,Detected from adjacent Summer Games event-set comparison.
1900,Sailing,Sailing Mixed 20+ Ton,mixed,added,20+ Ton,Detected from adjacent Summer Games event-set comparison.
1900,Sailing,Sailing Mixed 3-10 Ton,mixed,added,3-10 Ton,Detected from adjacent Summer Games event-set comparison.
1900,Sailing,Sailing Mixed Open,mixed,added,Sailing Mixed Open,Detected from adjacent Summer Games event-set comparison.
1900,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",men,added,"Free Pistol, 50 metres, Team",Detected from adjacent Summer Games event-set comparison.
1900,Shooting,"Shooting Men's Free Pistol, 50 metres",men,added,"Free Pistol, 50 metres",Detected from adjacent Summer Games event-set comparison.
1900,Shooting,"Shooting Men's Free Rifle, Kneeling, 300 metres",men,added,"Free Rifle, Kneeling, 300 metres",Detected from adjacent Summer Games event-set comparison.
1900,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",men,added,"Free Rifle, Prone, 300 metres",Detected from adjacent Summer Games event-set comparison.
1900,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",men,added,"Free Rifle, Standing, 300 metres",Detected from adjacent Summer Games event-set comparison.
1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",men,added,"Free Rifle, Three Positions, 300 metres, Team",Detected from adjacent Summer Games event-set comparison.
1900,Shooting,Shooting Men's Trap,men,added,Trap,Detected from adjacent Summer Games event-set comparison.
1900,Swimming,"Swimming Men's 1,000 metres Freestyle",men,added,"1,000 metres Freestyle",Detected from adjacent Summer Games event-set comparison.
1900,Swimming,Swimming Men's 200 metres Backstroke,men,added,200 metres Backstroke,Detected from adjacent Summer Games event-set comparison.
1900,Swimming,Swimming Men's 200 metres Freestyle,men,added,200 metres Freestyle,Detected from adjacent Summer Games event-set comparison.
1900,Swimming,Swimming Men's 200 metres Obstacle Course,men,added,200 metres Obstacle Course,Detected from adjacent Summer Games event-set comparison.
