case_id,case_title,short_title,country_name,noc,sport,year_or_period,ready_for_presentation,presentation_priority,phenomenon_summary,one_sentence_takeaway,safest_claim,not_allowed_claim,key_metrics,evidence_summary_short,candidate_mechanism,evidence_stack,alternative_explanations,confidence_level,risk_note,external_evidence_needed,chart_recommendation,frontend_card_text
china_2008_gymnastics_host,China 2008 Gymnastics: host-year leap candidate,China 2008 Gymnastics,China,CHN,Gymnastics,2008,yes,1,China won 14 gymnastics medals with a high leap index.,China 2008 Gymnastics is a clear leap case with host-year and pre/host/post internal support.,China's 2008 Gymnastics result is a strong host-year candidate case supported by internal before/during/after comparison.,The Beijing host effect caused China's gymnastics medals.,leap_index=24.17; host_lift_vs_baseline=8.50; host_lift_vs_peers=11.29; modern_barrier=0.45,"Leap index 24.17; medals rose to 14; host panel shows pre=3, host=14, post=8.",host_effect candidate with sport-specific lift evidence,"descriptive_phenomenon: Olympic Leap Index 24.17, medal growth 11 | internal_data_candidate: same-year host NOC match; host country mapping incomplete | internal_data_candidate: medal overperformance improved by 31.25 versus descriptive economic baseline (year OLS: log_gdp_total + log_population + sports_entered) | supporting_signal: medals continued in the next observed Games | host_panel: pre=3, host=14, post=8",athlete cohort change; competition field changes; selection or qualification changes; event mix not captured by added/restored table; unobserved coaching or program changes,medium,"Strong visual case, but host-year overlap is candidate evidence only; external preparation and selection evidence is still needed.","Need external sources on host preparation, funding, selection, coaching and athlete pipeline before attributing the leap.",Pre-host-post line chart plus peer-adjusted host-lift bar.,"China 2008 Gymnastics is a strong internal host-year candidate, but the data supports candidate evidence rather than a causal claim."
china_diving_long_term_advantage,China Diving: repeated advantage in a high-barrier sport,China Diving 1992-2024,China,CHN,Diving,1992-2024,yes,2,China shows repeated modern Diving medal production rather than a single isolated spike.,China Diving is best used as a sustained high-barrier advantage case rather than a one-cycle spike.,The project tables show repeated modern Diving medal production by China in a high-barrier sport.,China's diving dominance is caused by one specific training system shown in this dataset.,modern_medals_sum=83; best_leap_year=2000; best_leap_index=8.28; modern_entry_barrier=0.77,Modern medal sum 83; high modern entry-barrier signal; repeated medals across modern Games.,sustained specialization / high-barrier incumbent advantage candidate,"sport_barrier: Modern high-barrier incumbent sport | best_leap_evidence: descriptive_phenomenon: Olympic Leap Index 8.28, medal growth 5 | internal_comparative_support: 4 added/restored Diving events in the same Games; score=1.00 | internal_data_candidate: women's Diving opportunities expanded by 2 events; added women events=2 | internal_data_candidate: medal overperformance improved by 9.90 versus descriptive economic baseline (year OLS: log_gdp_total + log_population + sports_entered) | supporting_signal: medals continued in the next observed Games","Event mix, judging structure, athlete cohort and program investment are not separated by current tables.",medium,"Good for sustained dominance, but not for attributing the reason without external sport-system evidence.","Need external evidence on training system, selection depth, coaching pipeline and federation strategy.",Modern medal timeline with high-barrier badge.,"China Diving is best presented as sustained specialization in a modern high-barrier sport, not as a single causal mechanism."
jamaica_2008_athletics,Jamaica 2008 Athletics: leap in a broad modern sport,Jamaica 2008 Athletics,Jamaica,JAM,Athletics,2008,yes,3,Jamaica won 9 Athletics medals with a positive leap signal.,Jamaica 2008 Athletics is a strong descriptive leap in a modern breakthrough-friendly sport.,Jamaica's 2008 Athletics row is a descriptive leap case with internal event-opportunity and overperformance signals.,Female event expansion or coaching caused Jamaica's 2008 Athletics leap.,leap_index=7.82; medals=9; athletics_friendliness=0.85,Leap index 7.82; 9 Athletics medals; Athletics has high modern breakthrough-friendliness.,female_expansion_effect,"descriptive_phenomenon: Olympic Leap Index 7.82, medal growth 4 | internal_comparative_support: 1 added/restored Athletics events in the same Games; score=0.07 | internal_data_candidate: women's Athletics opportunities expanded by 1 events; added women events=1 | internal_data_candidate: medal overperformance improved by 4.00 versus descriptive economic baseline (year OLS: log_gdp_total + log_population + sports_entered) | supporting_signal: medals continued in the next observed Games",athlete cohort change; competition field changes; selection or qualification changes; unobserved coaching or program changes,medium,Good broad-sport leap example; external athlete/cohort and event-specialization evidence is still needed.,"Need external evidence on event specialization, athlete cohort, coaching, domestic competition and federation support.",Country-sport leap card plus Athletics modern friendliness gauge.,Jamaica 2008 Athletics is a descriptive leap case in a broad modern sport; current data does not prove why the leap occurred.
south_korea_archery_incumbent,South Korea Archery: high-barrier incumbent case,South Korea Archery,South Korea,KOR,Archery,1992-2024,yes,4,South Korea repeatedly appears in Archery medal rows while modern Archery is high-barrier.,South Korea Archery illustrates sustained incumbent strength in a relatively high-barrier modern sport.,"The data supports a sustained high-barrier incumbent case for South Korea Archery, while the underlying program mechanism needs external evidence.",The dataset proves why South Korea dominates Archery.,modern_medals_sum=42; best_year=2024; best_leap_index=5.59; modern_entry_barrier=0.73,Modern medal sum 42; Archery marked high-barrier; repeated modern medal production.,incumbent advantage / specialization candidate,"sport_barrier: Modern high-barrier incumbent sport | best_leap_evidence: descriptive_phenomenon: Olympic Leap Index 5.59, medal growth 3 | limited: 2024 GDP total or population missing, so no strong economic interpretation | no_continuity_signal: no medal in the next observed Games","Current tables do not identify coaching, selection, school-system or federation mechanisms.",medium,Useful as incumbent/high-barrier example; 2024 economic interpretation is limited by missing GDP/population matches.,"Need external evidence on selection system, domestic competition, coaching depth and federation investment.",Modern Archery medal timeline with barrier-index badge.,"South Korea Archery is a strong case for sustained dominance in a high-barrier sport, not proof of one program feature."
japan_2020_judo_host,Japan 2020 Judo: host-year strength candidate,Japan 2020 Judo,Japan,JPN,Judo,2020,yes,5,Japan won 12 Judo medals in the Tokyo Games period.,"Japan 2020 Judo combines host-year context with incumbent sport strength, but the source cannot isolate a cause.",Japan's 2020 Judo result is a candidate host/incumbent-strength case with internal support and clear caveats.,Hosting Tokyo caused Japan's Judo medal result.,leap_index=10.09; medals=12; host_lift_vs_baseline=2; modern_friendliness=0.67,12 Judo medals; host-year row present; modern Judo has broad medal participation but Japan is an incumbent power.,host_effect / incumbent-strength candidate,"descriptive_phenomenon: Olympic Leap Index 10.09, medal growth 0 | internal_data_candidate: same-year host NOC match; host country mapping incomplete | internal_comparative_support: 1 added/restored Judo events in the same Games; score=0.17 | internal_data_candidate: medal overperformance improved by 7.09 versus descriptive economic baseline (year OLS: log_gdp_total + log_population + sports_entered) | supporting_signal: medals continued in the next observed Games | host_panel: weak_candidate",athlete cohort change; competition field changes; selection or qualification changes; unobserved coaching or program changes,medium,"Good host/incumbent contrast case, but host panel strength is weak and the Tokyo timing needs careful explanation.","Need external evidence on home conditions, selection depth, cohort strength and federation preparation.",Pre-host-post Judo medal line with host annotation.,Japan 2020 Judo combines host-year context with incumbent sport strength; the data does not isolate a causal source.
san_marino_2020_small_country_efficiency,San Marino 2020: multi-medal small-country efficiency case,San Marino 2020,San Marino,SMR,All sports,2020,yes,6,San Marino produced a notable small-country medal outcome in 2020.,San Marino 2020 is a useful small-country efficiency outlier with explicit small-denominator caveats.,"San Marino 2020 stands out in population-normalized medal efficiency, but it should be presented with small-sample and missing-GDP caveats.",San Marino is structurally more efficient because of its economy or population size.,total_medals=3; gold_medals=0; medals_per_million=86.22; medals_per_100b_gdp=NA; economic_data_complete=0,3 medals; very high medals per million; GDP-normalized metric unavailable.,small-country efficiency / normalization outlier candidate,country_economic_efficiency table: normalized medal rate highlights the case; economic data completeness limits interpretation.,"Small denominator effects, sport-specific pathway and single-cycle athlete cohort are not separated.",medium,"Good normalized-efficiency discussion case, but GDP-total completeness is limited and small denominators are unstable.","Need sport-specific athlete pathway, qualification route, funding context and complete economic matches.",Population-normalized efficiency scatterplot with small-sample warning.,"San Marino 2020 is a clear normalized-efficiency outlier, with small-denominator and data-completeness caveats."
uk_2008_2012_cycling,United Kingdom 2008/2012 Cycling: performance-cycle candidate,UK Cycling 2008/2012,United Kingdom,GBR,Cycling,2008/2012,limited,7,United Kingdom cycling appears as a high-performing case across the Beijing-London cycle.,"UK Cycling is a strong candidate performance-cycle story, but program causes require external evidence.",The project tables identify UK Cycling as a high-performing candidate case across the Beijing-London cycle.,"Funding, coaching, or technology caused UK Cycling's medal gains based on this dataset alone.",best_year=2008; leap_index=22.74; medals=14; cycling_track_barrier=0.49,Best leap year 2008; leap index 22.74; 14 medals; external program validation required.,"program-cycle / specialization candidate, no coach causal claim","descriptive_phenomenon: Olympic Leap Index 22.74, medal growth 10 | internal_comparative_support: 2 added/restored Cycling events in the same Games; score=0.37 | internal_data_candidate: women's Cycling opportunities expanded by 0 events; added women events=1 | internal_data_candidate: medal overperformance improved by 20.93 versus descriptive economic baseline (year OLS: log_gdp_total + log_population + sports_entered) | supporting_signal: medals continued in the next observed Games",athlete cohort change; competition field changes; selection or qualification changes; unobserved coaching or program changes,medium,"Recognizable case, but it is program/coach-adjacent and external evidence is required before high-priority use.","Need external evidence on funding cycle, coaching staff, technology, athlete pipeline and selection policy.",Cycling medal timeline for 2004/2008/2012/2016.,The data supports a candidate performance-cycle story for UK Cycling; the mechanism needs external program evidence.
ethiopia_2000_athletics,Ethiopia 2000 Athletics: endurance-country leap candidate,Ethiopia 2000 Athletics,Ethiopia,ETH,Athletics,2000,limited,8,Ethiopia won 8 Athletics medals with a positive leap signal.,"Ethiopia 2000 Athletics is a descriptive leap in a broad modern sport, not a proven endurance-system mechanism.",Ethiopia's 2000 Athletics row is a descriptive leap with internal opportunity and overperformance signals.,Ethiopia's athletics system caused the 2000 leap.,leap_index=8.68; medals=8; athletics_friendliness=0.85,Leap index 8.68; 8 Athletics medals; external specialization evidence needed.,female_expansion_effect,"descriptive_phenomenon: Olympic Leap Index 8.68, medal growth 5 | internal_comparative_support: 2 added/restored Athletics events in the same Games; score=0.14 | internal_data_candidate: women's Athletics opportunities expanded by 2 events; added women events=2 | internal_data_candidate: medal overperformance improved by 5.00 versus descriptive economic baseline (year OLS: log_gdp_total + log_population + sports_entered) | supporting_signal: medals continued in the next observed Games",athlete cohort change; competition field changes; selection or qualification changes; unobserved coaching or program changes,medium,"Useful comparator to Jamaica, but explanation needs event-specialization and athlete-cohort evidence.","Need external evidence on event specialization, athlete cohort, coaching, domestic competition and federation support.",Country-sport leap card plus Athletics modern friendliness gauge.,Ethiopia 2000 Athletics is a descriptive leap case in a broad modern sport; current data does not prove why the leap occurred.
france_2024_swimming_host,France 2024 Swimming: host-related candidate with missing post window,France 2024 Swimming,France,FRA,Swimming,2024,limited,9,France won 7 Swimming medals in 2024 with a strong pre-to-host lift.,"France 2024 Swimming is a timely host-related candidate, but confidence is capped by the missing post-window.",France 2024 Swimming can be shown as a host-year candidate with missing-post-window and GDP-data caveats.,France's 2024 host advantage caused the Swimming lift.,leap_index=12.56; host_lift_vs_baseline=6; host_lift_vs_peers=5.94; post_year_missing=1,Leap index 12.56; host lift vs baseline 6; no post-Games comparison yet.,"host_effect candidate, limited by missing post-Games comparison","descriptive_phenomenon: Olympic Leap Index 12.56, medal growth 6 | internal_data_candidate: same-year host NOC match; host country mapping incomplete | internal_comparative_support: 4 added/restored Swimming events in the same Games; score=0.40 | internal_data_candidate: women's Swimming opportunities expanded by 1 events; added women events=2 | limited: 2024 GDP total or population missing, so no strong economic interpretation | no_continuity_signal: no medal in the next observed Games | host_panel: strong_candidate",athlete cohort change; competition field changes; selection or qualification changes; unobserved coaching or program changes,medium,"Timely and visually useful, but post-Games comparison is unavailable and 2024 economic data is limited.",Need post-2024 comparison plus external federation/program evidence.,Pre-host-post panel with post side marked unavailable; peer-adjusted lift bar.,"France 2024 Swimming is a host-related candidate, but confidence is capped because the post-Games window is unavailable."
bermuda_2020_small_country_efficiency,Bermuda 2020: small-country medal efficiency case,Bermuda 2020,Bermuda,BER,All sports,2020,no,10,Bermuda produced a notable small-country medal outcome in 2020.,Bermuda 2020 is an interesting small-country outlier but too data-limited for a main case.,Bermuda 2020 can be mentioned as a small-country medal case requiring complete normalization context.,Bermuda proves the small-country efficiency mechanism.,total_medals=1; gold_medals=1; medals_per_million=NA; medals_per_100b_gdp=NA; economic_data_complete=0,1 gold medal; normalized economic fields are incomplete; one-medal denominator risk.,small-country efficiency / normalization outlier candidate,country_economic_efficiency table: normalized medal rate highlights the case; economic data completeness limits interpretation.,"Small denominator effects, sport-specific pathway and single-cycle athlete cohort are not separated.",low,Too fragile for main defense example because normalized metrics are unavailable or incomplete and it is a one-medal case.,"Need sport-specific athlete pathway, qualification route, funding context and complete economic matches.",Population-normalized efficiency scatterplot with small-sample warning.,Bermuda 2020 should be shown as an efficiency outlier with small-sample caveats.
